6773.thousand_nights_vol07_29_burton_64kb_0|“Do what seemeth good to thee.
7585.policeyourplanet_08_delray_64kb_1|"I knew you had this cannon, gov'nor, and I figured it'd come in handy. Wouldn't be caught dead with one myself. Knives, that's my specialty. Come on, Cap'n, we gotta get out the vote."
7585.policeyourplanet_08_delray_64kb_2|"In the first place, I'm not registered."
7585.policeyourplanet_08_delray_64kb_3|"Every cop's registered in his own precinct; Wayne got the honor system fixed for us. Show your papers and go into any booth in your territory. That's all. And you'd better be seen voting often, too, Cap'n. What's your precinct?"
7585.policeyourplanet_08_delray_64kb_4|"Eleventh, but I'm not voting. I'd like to come along with you to observe, but I wouldn't make any choice between Wayne and Nolan."
7585.policeyourplanet_08_delray_64kb_5|"Come on, you. We're late. And I ain't staying on the streets when it gets going."
7585.policeyourplanet_08_delray_64kb_6|"Come on, you gees. I gotta be back in half an hour."
7585.policeyourplanet_08_delray_64kb_7|"You mugs get the hell out of -- Oh, cops! Okay, better pin these on."
7585.policeyourplanet_08_delray_64kb_8|"We got territory to cover."
7585.policeyourplanet_08_delray_64kb_9|"Just a friend on the way to his own route. Eleventh Precinct."
7585.policeyourplanet_08_delray_64kb_10|"He's been dead for ten years. I know him. He's my uncle."
7585.policeyourplanet_08_delray_64kb_11|"There's a Mike Thaler registered, and this guy says he's Thaler,
7585.policeyourplanet_08_delray_64kb_12|"Heh-heh, yes, just a mix-up. He's registered, so he votes."
7585.policeyourplanet_08_delray_64kb_13|"Owen Murtagh."
7585.policeyourplanet_08_delray_64kb_14|"Murtang.... No registration!
7585.policeyourplanet_08_delray_64kb_15|"When a man can't get the name straight the first time, it's suspicious."
7585.policeyourplanet_08_delray_64kb_16|"Better check the name off, unless the real Murtagh shows up. Any objections, Yeoman?"
7585.policeyourplanet_08_delray_64kb_17|"Saves trouble, unless you want to do it yourself,
7585.policeyourplanet_08_delray_64kb_18|"Wayne'll win, but not that easy. The sticks don't have strong mobs, and they'll pile up a heavy Nolan vote. And you'll see things hum soon!"
7585.policeyourplanet_08_delray_64kb_19|"Inside the dome! They're poisoning the air."
7585.policeyourplanet_08_delray_64kb_20|"I've had enough. I've made up my mind,
7585.policeyourplanet_08_delray_64kb_21|"The cable offices must be open for the doctored reports on the election to Earth. Where's the nearest?"
7585.policeyourplanet_08_delray_64kb_22|"Come off the head-cop role; it won't work. They must have had reports on elections before this."
7585.policeyourplanet_08_delray_64kb_23|"Okay, it's your death certificate,
7585.policeyourplanet_08_delray_64kb_24|"Go send your sob stories, Murdoch."
7585.policeyourplanet_08_delray_64kb_25|"It ain't right, gov'nor."
7585.policeyourplanet_08_delray_64kb_26|"Let him do what he damn pleases,
7585.policeyourplanet_08_delray_64kb_27|"Mrs. Mary Edelstein,
7585.policeyourplanet_08_delray_64kb_28|"Get out, Gordon, before they gang up on us!"
7585.policeyourplanet_08_delray_64kb_29|"Get the old man!"
7585.policeyourplanet_08_delray_64kb_30|"Or should I carry you?"
7585.policeyourplanet_08_delray_64kb_31|"I'll walk. Get me to a place where we can talk -- and be damned to this. Gordon, I've got to talk -- but I don't have to live. I mean that!"
7585.policeyourplanet_08_delray_64kb_32|"A man in distress!
7585.policeyourplanet_08_delray_64kb_33|"Yes. Pappa is dead, God forbid it. He would try to vote. I told him and told him -- and then ... With my own hands, I carried him here."
7585.policeyourplanet_08_delray_64kb_34|"No. Pappa is dead. He needs no beds now, and your friend is suffering; put him here."
7585.policeyourplanet_08_delray_64kb_35|"I'll get alcohol from below -- and bandages and hot water."
7585.policeyourplanet_08_delray_64kb_36|"Let them go, kid. There's no way to save me now. And listen!"
7585.policeyourplanet_08_delray_64kb_37|"Gordon, you're a self-made louse, but you're a man underneath it somewhere. That's why we rate you higher than you think you are. That's why I'm going to trust you -- because I have to."
7585.policeyourplanet_08_delray_64kb_38|"He was a clerk once for Security. But nobody came, nobody called...."
7585.policeyourplanet_08_delray_64kb_39|"Probably what happened to a lot -- men like Trench, supposed to build an organization, just leaving the loose ends hanging.
7585.policeyourplanet_08_delray_64kb_40|"Hell's going to pop. The government's just waiting to step in; Earth wants to take over."
7585.policeyourplanet_08_delray_64kb_41|"Take it. You're head of Security on Mars now. It's all authorized in the plans there. You'll need the brains and knowledge of the others -- but they can't act. You can -- we know about you."
7585.policeyourplanet_08_delray_64kb_42|"So Security wants me to contact the others in the book and organize things?"
7585.policeyourplanet_08_delray_64kb_43|"Not a good chance, then -- but a chance. Still time -- I think. Gordon?"
7585.policeyourplanet_08_delray_64kb_44|"Dead, fighting wind-mills. And maybe winning. I don't know."
7585.policeyourplanet_08_delray_64kb_45|"I should have watched her. It is a bad day for me, young man. I failed Pappa; I failed the poor man who died -- and now I have failed you. It is better..."
7585.policeyourplanet_08_delray_64kb_46|"Upstairs, please,
7585.policeyourplanet_15_delray_64kb_0|"So we figured when we found the stiffs maybe you'd come back, Mother. Damn good thing we were right. We can sure use that ammunition you found. Now, where's this Gordon fellow?"
7585.policeyourplanet_15_delray_64kb_1|"I'll be doggoned. Whyn't you say he was with Murdoch?"
7585.policeyourplanet_15_delray_64kb_2|"They want someone to locate Ed Praeger and see about getting some food shipped in from outside, cobber,
7585.policeyourplanet_15_delray_64kb_3|"They got some money scraped together, but the hicks are doing no business with Marsport. You know Ed -- just tell him I sent you. I'd go myself, but I'm getting too old to go chasing men out there."
7585.policeyourplanet_15_delray_64kb_4|"Heart like a steel trap, cobber,
7585.policeyourplanet_15_delray_64kb_5|"Well, you'll be earning your keep here -- yours and that granddaughter's, too. Here -- you'll need directions for finding Praeger."
7585.policeyourplanet_15_delray_64kb_6|"Should turn 'em over to us cops,
7585.policeyourplanet_15_delray_64kb_7|"What's he hanged for?"
7585.policeyourplanet_15_delray_64kb_8|"All food should be turned in,
7585.policeyourplanet_15_delray_64kb_9|"We can trust you, I guess,
7585.policeyourplanet_15_delray_64kb_10|"Remember you with Murdoch, anyhow. And you can tell Praeger we got plenty of men looking for work, in case he can use 'em."
7585.policeyourplanet_15_delray_64kb_11|"Extra air inside, and the best we could do for food. Was gonna try myself, but I don't know Praeger,
7585.policeyourplanet_15_delray_64kb_12|"Good luck, Gordon -- and damn it, we're -- we gotta eat, don't we? You tell him that! It ain't much -- but get what you can!"
7585.policeyourplanet_15_delray_64kb_13|"You won't find Praeger on his farm -- couldn't reach it in that, anyhow,
7585.policeyourplanet_15_delray_64kb_14|"Ed! Hey, Ed!"
7585.policeyourplanet_15_delray_64kb_15|"I can get the stuff sent, Gordon. I'm head of the shipping committee for this quadrant. But why in hell should I? The last time, every car was looted in Outer Marsport. If they won't let us get the oil and chemicals we need, why should we feed them?"
7585.policeyourplanet_15_delray_64kb_16|"Ever see starvation?
7585.policeyourplanet_15_delray_64kb_17|"Hell, who wouldn't loot your trains if that's going on?"
7585.policeyourplanet_15_delray_64kb_18|"All right, if Mother Corey'll back up this volunteer police group. I've got kids of my own.... Look, you want food, we want to ship. Get your cops to give us an escort for every shipment through to the dome, and we'll drop off one car out of four for the outlands."
7585.policeyourplanet_15_delray_64kb_19|"Provided the first shipment carries the most we can get for the credits I brought."
7585.policeyourplanet_15_delray_64kb_20|"It will -- we've got some stuff that's about to spoil, and we can let you have a whole train of it.
7585.policeyourplanet_15_delray_64kb_21|"A damned good thing Security's sending a ship. Credits won't be worth much until they get this mess straightened out."
7585.policeyourplanet_15_delray_64kb_22|"What makes you think Security can do anything? They haven't shown a hand yet."
7585.policeyourplanet_15_delray_64kb_23|"You guys in Marsport feed yourselves so many lies you begin to believe them. But Security took Venus -- and I'm not worried here, in the long run. Don't ask me how."
7585.policeyourplanet_15_delray_64kb_24|"Along with how many war rockets?
7585.policeyourplanet_15_delray_64kb_25|"I'll take the drag car."
7585.policeyourplanet_15_delray_64kb_26|"And news for the paper, if I ever publish it again. I came over because I wasn't much use at the Coop, and everyone else was busy."
7585.policeyourplanet_15_delray_64kb_27|"Running Outer Marsport. The Mother's the only man everybody knows, I guess -- and his word has never been broken that anyone can remember. So he's helping Schulberg make agreements with the sections the volunteers don't handle. Place is lousy with people now. Heard about Mayor Wayne?"
7585.policeyourplanet_15_delray_64kb_28|"He must have had his supply of drugs lifted somehow. He holed up one day, until it really hit him that he couldn't get any more. Then he went gunning for Trench, with some idea Trench had swiped the stuff -- so Trench is now running the Municipals. And I hear the gangs are just about in control of both sections, lately."
7585.policeyourplanet_15_delray_64kb_29|"Forget all you're thinking, Cuddles. I'm still not bothering unwilling women -- and I'll even close my eyes when you dress."
7585.policeyourplanet_15_delray_64kb_30|"They called it bundling once, I think. I -- Bruce, I know you don't like me, so I guess it isn't too hard for you. But -- sometimes ... Oh, damn it! Sometimes you're -- nice!"
7585.policeyourplanet_15_delray_64kb_31|"Nice people don't get to Mars. They stay on Earth, being careful not to find out what it's like up here,
7585.policeyourplanet_15_delray_64kb_32|"I know. The Kid -- Rusty's friend -- wrote down what they did to him."
7585.policeyourplanet_15_delray_64kb_33|"I'm declaring myself in!
7585.policeyourplanet_15_delray_64kb_34|"You know enough about Security badges to know they can't be forged. That one has my name on it, and rating as a Prime. Do you want to shoot me, or will you follow orders?"
7585.policeyourplanet_15_delray_64kb_35|"I lost connection years ago, Gordon. But this makes you my boss."
7585.policeyourplanet_15_delray_64kb_36|"Then give it all the publicity you can, and tell them Security has just declared war on the whole damned dome section! Mother, I want all the dope we found!
7585.policeyourplanet_15_delray_64kb_37|"After your deal with Praeger, we'd probably follow you anyhow. I don't cotton to Security, Gordon -- but those devils in there are making our kids starve!"
7585.policeyourplanet_15_delray_64kb_38|"Is it true about Security sending a ship?
7585.policeyourplanet_15_delray_64kb_39|"What happens when they arrive, Bruce?"
7585.policeyourplanet_15_delray_64kb_40|"Who knows? Who cares? I'll see that they know you weren't guilty, though. Stop worrying about it."
7585.policeyourplanet_07_delray_64kb_0|"You seem to have friends here,
7585.policeyourplanet_07_delray_64kb_1|"A good thing I was trying to catch up with you. Just missed you at the Precinct House, came after you, and saw you turn in here. Then I heard the rumpus. A good thing for me, too, maybe."
7585.policeyourplanet_07_delray_64kb_2|"How so? And what happened?
7585.policeyourplanet_07_delray_64kb_3|"One's the result of the other,
7585.policeyourplanet_07_delray_64kb_4|"Forget that part. There's room enough for two in my place -- and I guess Mother Corey won't mind. I'm damned glad you were following me."
7585.policeyourplanet_07_delray_64kb_5|"So'm I, Gordon. What'll we do with the prisoners?"
7585.policeyourplanet_07_delray_64kb_6|"Leave 'em; we couldn't get a Croopster locked up tonight for anything."
7585.policeyourplanet_07_delray_64kb_7|"This is the first time I've had to look you up,
7585.policeyourplanet_07_delray_64kb_8|"I've been going out nights to help the citizens organize against the Stonewall gang. But that's over now -- they gave me hell for inciting vigilante action, and confined me inside the dome. The way they hate a decent cop here, you'd think honesty was contagious."
7585.policeyourplanet_07_delray_64kb_9|"It's your room, cobber,
7585.policeyourplanet_07_delray_64kb_10|"Number forty-two."
7585.policeyourplanet_07_delray_64kb_11|"Thanks, Gordon. I'm turning in right now."
7585.policeyourplanet_07_delray_64kb_12|"I'm from the Ajax Householders Protection Group,
7585.policeyourplanet_07_delray_64kb_13|"Not long on Mars, are you?
7585.policeyourplanet_07_delray_64kb_14|"What does your boss Jurgens figure on doing, punk? Taking over all the rackets for the whole city?"
7585.policeyourplanet_07_delray_64kb_15|"To me, it's nothing,
7585.policeyourplanet_07_delray_64kb_16|"Take these two back to young Jurgens, boys, and tell him to keep his punks out of my house."
7585.policeyourplanet_07_delray_64kb_17|"As I was going to say, cobber,
7585.policeyourplanet_07_delray_64kb_18|"we've got a little social game going upstairs -- the room with the window. Fine view of the parades. We need a fourth."
7585.policeyourplanet_07_delray_64kb_19|"This is Ed Praeger. He's an engineer on our railroad."
7585.policeyourplanet_07_delray_64kb_20|"So there really is a surrounding countryside,
7585.policeyourplanet_07_delray_64kb_21|"There are even cities out there, Gordon. Nothing like Marsport, but that's no loss. That's where the real population of Mars is -- decent people, men who are going to turn this into a real planet some day."
7585.policeyourplanet_07_delray_64kb_22|"There are plenty like that here, too,
7585.policeyourplanet_07_delray_64kb_23|"First ace deals. Damn it, Mother, sit down-wind from me, won't you? Or else take a bath."
7585.policeyourplanet_07_delray_64kb_24|"I got a surprise for you, cobber,
7585.policeyourplanet_07_delray_64kb_25|"Nobody goes back,
7585.policeyourplanet_07_delray_64kb_26|"A lot don't want to,
7585.policeyourplanet_07_delray_64kb_27|"I never meant to go back. I've got me a farm up north. Another ten years, and I retire to it. My kids are up there now -- grandkids, that is. They're Martians; maybe you won't believe me, but they can breathe the air here without a helmet."
7585.policeyourplanet_07_delray_64kb_28|"They'll take the planet away from Earth yet,
7585.policeyourplanet_07_delray_64kb_29|"Marsport is strictly artificial. It's kept going only because it's the only place where Earth will set down her ships. If Security doesn't do anything, time will."
7585.policeyourplanet_07_delray_64kb_30|"Yeah, I know. The government set them up, gave them a mixture of powers, and has been trying to keep them from working ever since. But somehow they did clean up Venus; and every crook here is scared to death of the name. How come a muckraking newspaperman like you never turned up anything on them, Gordon?"
7585.policeyourplanet_07_delray_64kb_31|"Don't sell them short, cobber. I did -- once.... You forget them, here, after a while. But they're around...."
7585.policeyourplanet_07_delray_64kb_32|"If Security's so damned powerful, why doesn't it stop that?
7585.policeyourplanet_07_delray_64kb_33|"They might do it, Gordon. They just might. But are you sure you want it stopped?"
7585.policeyourplanet_07_delray_64kb_34|"This is a social game, cobbers."
7585.policeyourplanet_07_delray_64kb_35|"Trench took forever giving it to us, Mother. But it's the same old deal; all the police gees get tomorrow off -- you, too, gov'nor. No cops to influence the vote, that's the word. We even gotta wear civvies when we go out to vote for Wayne."
7585.policeyourplanet_07_delray_64kb_36|"Put a uniform on some men and they begin to believe they're cops, eh, cobber?"
7585.policeyourplanet_13_delray_64kb_0|"I knew it, gov'nor -- knew it the minute I heard Jurgens was a cop. Did you make 'em give you my beat?"
7585.policeyourplanet_13_delray_64kb_1|"Guess what, gov'nor. The Legals bought Randy's Crusader. Traded him an old job press and a bag of scratch for his reputation."
7585.policeyourplanet_13_delray_64kb_2|"You'll be late, Izzy,
7585.policeyourplanet_13_delray_64kb_3|"You've got a wife home, muckraker. You don't have to eat this filth."
7585.policeyourplanet_13_delray_64kb_4|"Yeah, the Legals want the Crusader for their propaganda,
7585.policeyourplanet_13_delray_64kb_5|"New slogans and new uniforms, and none of them mean anything. Here!
7585.policeyourplanet_13_delray_64kb_6|"My mother's wedding ring. Give it to her -- and if you tell her it came from me, I'll rip out your guts!"
7585.policeyourplanet_13_delray_64kb_7|"Food ready in ten minutes,
7585.policeyourplanet_13_delray_64kb_8|"I got a duplicate key. Yours is in there,
7585.policeyourplanet_13_delray_64kb_9|"Yeah, I know. Your meal ticket was in danger. Okay, you've done your nightly duty. Now get the hell out of my room, will you?"
7585.policeyourplanet_13_delray_64kb_10|"It's a helluva roundabout way of doing things, gov'nor, but if the gees pay for protection any old way, then they're gonna get it!"
7585.policeyourplanet_13_delray_64kb_11|"I told you you had a punched meal ticket,
7585.policeyourplanet_13_delray_64kb_12|"I got a job today -- barmaid, on your beat, where being your wife helps."
7585.policeyourplanet_13_delray_64kb_13|"Go to bed. You look beat. I'll sand these."
7585.policeyourplanet_13_delray_64kb_14|"You all see it. We're going to arrest Wayne. By jingo, they can't say we ain't legal now! Every odd-numbered shield goes from every precinct. Gordon, Isaacs -- you two been talking big about law and order. Here's the warrant. Take it and arrest Wayne!"
7585.policeyourplanet_13_delray_64kb_15|"The princess? She sure is."
7585.policeyourplanet_13_delray_64kb_16|"They'll ruin the dome yet. Why can't they stick to knives?"
7585.policeyourplanet_13_delray_64kb_17|"Cut speed! Left sharp!
7585.policeyourplanet_13_delray_64kb_18|"Wayne, you're under arrest!"
7585.policeyourplanet_13_delray_64kb_19|"So the bad pennies turn up. You damned fools, you should have stuck. I had big plans for you, Gordon. I've still got them, if you don't insist..."
7585.policeyourplanet_13_delray_64kb_20|"Lucky we found a good car to steal,
7585.policeyourplanet_13_delray_64kb_21|"I'm getting old, cobbers. Once I broke every strong-man record on Earth -- still stand, too. But not now. Senile!"
7585.policeyourplanet_13_delray_64kb_22|"You didn't have to come,
7585.policeyourplanet_13_delray_64kb_23|"When my own granddaughter comes crying for help? When she finally admits she needs her old grandfather?"
7585.policeyourplanet_13_delray_64kb_24|"Gov'nor, if you're right, and the plain gees pay my salary, who's paying me to start fighting other cops? Or is it maybe that somebody isn't being exactly honest with the scratch they lift from the gees?"
7585.policeyourplanet_13_delray_64kb_25|"We still have to eat,
7585.policeyourplanet_04_delray_64kb_0|"You're going to be busy,
7585.policeyourplanet_04_delray_64kb_1|"You five will come with me. I'm going to show how we operate. The rest of you can team up any way you want tonight, pick any route that's open. Okay, men, let's go."
7585.policeyourplanet_04_delray_64kb_2|"Then you should be ashamed to be in this mess. But whatever your reasons, you'll be useful. Take those two and give them some lessons, while I do the same with these."
7585.policeyourplanet_04_delray_64kb_3|"A good clubbing beats hanging,
7585.policeyourplanet_04_delray_64kb_4|"But it has to be good. Go in for business, and don't stop just because the other guy quits. Give them hell!"
7585.policeyourplanet_04_delray_64kb_5|"Knock them out and kick them down!
7585.policeyourplanet_04_delray_64kb_6|"And don't let them get away!"
7585.policeyourplanet_04_delray_64kb_7|"Where are you going?"
7585.policeyourplanet_04_delray_64kb_8|"To find a phone and call the wagon."
7585.policeyourplanet_04_delray_64kb_9|"We're not using wagons,
7585.policeyourplanet_04_delray_64kb_10|"Take him aside. Names."
7585.policeyourplanet_04_delray_64kb_11|"I want the name of every man in the gang you can remember,
7585.policeyourplanet_04_delray_64kb_12|"Colonel, they'd kill me! I don't know."
7585.policeyourplanet_04_delray_64kb_13|"If he should turn up dead, I'll know you boys are responsible, and I'll find you. Now get out of this district, or get honest jobs! Because every time one of my men sees one of you, this will happen again. And you can pass the word along that the Stonewall gang is dead!"
7585.policeyourplanet_04_delray_64kb_14|"I've heard the theory, but never saw it in practice. Suppose the whole gang jumps us at once?"
7585.policeyourplanet_04_delray_64kb_15|"Then we're taken. The old book I got the idea from didn't mention that."
7585.policeyourplanet_04_delray_64kb_16|"We'd better shift to another territory,
7585.policeyourplanet_04_delray_64kb_17|"Object lesson!"
7585.policeyourplanet_04_delray_64kb_18|"Get a stretcher, and take him wherever he belongs,
7585.policeyourplanet_04_delray_64kb_19|"I'm leaving you two able to walk for that. But if you get caught again, you'll get still worse."
7585.policeyourplanet_04_delray_64kb_20|"Poor devils!"
7585.policeyourplanet_04_delray_64kb_21|"I've got a yellow ticket, from Security."
7585.policeyourplanet_04_delray_64kb_22|"So you're that Gordon? But you're still a good cop."
7585.policeyourplanet_04_delray_64kb_23|"What makes you think Wayne will be re-elected? Nobody wants him, except a gang of crooks and those in power."
7585.policeyourplanet_04_delray_64kb_24|"Ever see a Martian election? No, you're a firster. He can't lose! And then hell is going to pop, and this whole planet may be blown wide open!"
7585.policeyourplanet_04_delray_64kb_25|"It didn't affect Honest Izzy,
7585.policeyourplanet_04_delray_64kb_26|"Nope. Because Izzy is always honest, according to how he sees it. But you got Earth ideas of the stuff, like I had once. Too bad.
7585.policeyourplanet_06_delray_64kb_0|"Maybe I didn't do you a favor, gov'nor, pulling you here. I dunno. I got some pics of Trench from a guy I know. That's how I got my beat so fast in the Seventh. But Trench ain't married, and I guess I've used up the touch. Maybe I could try it, though."
7585.policeyourplanet_06_delray_64kb_1|"I'll work it out somehow."
7585.policeyourplanet_06_delray_64kb_2|"High man for sixty,
7585.policeyourplanet_06_delray_64kb_3|"Izzy said you'd be around. Sorry my man drew that knife on you the last time, Corporal."
7585.policeyourplanet_06_delray_64kb_4|"Accidents will happen, Fats."
7585.policeyourplanet_06_delray_64kb_5|"How come you're walking beat, anyhow? With what you pulled here, you should have bought a captaincy."
7585.policeyourplanet_06_delray_64kb_6|"Well, that's Mars,
7585.policeyourplanet_06_delray_64kb_7|"It ain't honest, gov'nor. If the gees in the wagon clean him, or the desk man gets it, that's their business. But I'm going to run a straight beat, or else!"
7585.policeyourplanet_06_delray_64kb_8|"Captain says report in person at once,
7585.policeyourplanet_06_delray_64kb_9|"Gordon, what does Security want with you?"
7585.policeyourplanet_06_delray_64kb_10|"Security? Not a damned thing, if I can help it. They kicked me off Earth on a yellow ticket, if that's what you mean."
7585.policeyourplanet_06_delray_64kb_11|"official business
7585.policeyourplanet_06_delray_64kb_12|"Okay, probably routine. Only next time, Gordon, put the facts on your record with the Force. If you're a deportee, it should show up. That's all!"
7585.policeyourplanet_06_delray_64kb_13|"Pick up the snow, too."
7585.policeyourplanet_06_delray_64kb_14|"Good God, Sergeant,
7585.policeyourplanet_06_delray_64kb_15|"leave me something! I'll make it right. I'll cut you in. I gotta have some of that for myself!"
7585.policeyourplanet_06_delray_64kb_16|"Let him feel it a while. No sense jailing him yet. Bloody fool had no business starting without lining the groove. Anyhow, we'll get a bunch of credits for the stuff when we turn it in."
7585.policeyourplanet_06_delray_64kb_17|"We get a quarter value. Captain probably gets fifty per cent from one of the pushers who's lined with him. Everybody's happy."
7585.policeyourplanet_06_delray_64kb_18|"Why not push it ourselves?
7585.policeyourplanet_06_delray_64kb_19|"Wouldn't be honest, gov'nor. Cops are supposed to turn it in."
7585.policeyourplanet_06_delray_64kb_20|"Good work -- you, too, Gordon. Best week in the territory for a couple of months. I guess the citizens like you, the way they treat you.
7585.policeyourplanet_06_delray_64kb_21|"You have a better chance with more tickets. A much better chance!"
7585.policeyourplanet_06_delray_64kb_22|"Thanks, Gordon. That fills my quota. Look, you've been on overtime all week. Why not skip the meeting? Isaacs can brief you, later. Go out and get drunk, or something."
7585.policeyourplanet_06_delray_64kb_23|"I'll go home and rest. Drinking costs too much for what I make. It's a good thing you don't have income tax here."
7585.policeyourplanet_06_delray_64kb_24|"forty per cent. Better make out a form next week, and start paying it regularly. But you can deduct your contributions here."
7585.policeyourplanet_14_delray_64kb_0|"That does it, gov'nor. It ain't honest, treating us this way. If the crackle comes from the people, and these gees give everybody a skull cracking, then they're crooks. It ain't honest, and I'm too sick to work. And if that bloody doctor won't agree..."
7585.policeyourplanet_14_delray_64kb_1|"Get out of my way, you damned Legal machine!
7585.policeyourplanet_14_delray_64kb_2|"He hasn't seen it yet, I guess. Here, gov'nor!"
7585.policeyourplanet_14_delray_64kb_3|"At his plant. At least he left for it, according to Sheila."
7585.policeyourplanet_14_delray_64kb_4|"You're staying here, Cuddles. You're supposed to be a woman now, remember!"
7585.policeyourplanet_14_delray_64kb_5|"The damned fool opened up on the border -- figured he'd circulate to both sections,
7585.policeyourplanet_14_delray_64kb_6|"We'd better get out a block up and walk. And I hope we ain't too bloody late!"
7585.policeyourplanet_14_delray_64kb_7|"Arrest or rescue?
7585.policeyourplanet_14_delray_64kb_8|"Good work, Sergeant. By jinx, when I heard the Municipals were coming, I was scared they'd get him for sure. Crane wants to watch this guy shot in person!"
7585.policeyourplanet_14_delray_64kb_9|"You're overlooking something, Hendrix,
7585.policeyourplanet_14_delray_64kb_10|"If you ever look at my record, you'll find I'm an ex-newspaperman myself. This is a rescue. Tie them up, Izzy."
7585.policeyourplanet_14_delray_64kb_11|"And I hope nobody finds them,
7585.policeyourplanet_14_delray_64kb_12|"All right, Randy, I guess we're a bunch of refugees heading for the outside, and bloody lucky at that. Proves a man shouldn't have friends."
7585.policeyourplanet_14_delray_64kb_13|"Not to me, Izzy. Right now I can appreciate friends. But you two better get going. I've got some unfinished business to tend to.
7585.policeyourplanet_14_delray_64kb_14|"Either of you know where I can buy stencils and ink and find some kind of a truck to haul this paper along?"
7585.policeyourplanet_14_delray_64kb_15|"Okay, Randy, we'll find them. Gov'nor, you'd better tell my mother I'll be using the old sheets. Go on. You've got the princess to worry about. We'll be along later."
7585.policeyourplanet_14_delray_64kb_16|"Fanatics, crusaders and damned fools!
7585.policeyourplanet_14_delray_64kb_17|"And I packed your things, too."
7585.policeyourplanet_14_delray_64kb_18|"I won't need them out there,
7585.policeyourplanet_14_delray_64kb_19|"They'll be safe here."
7585.policeyourplanet_14_delray_64kb_20|"So will you, now that you've made up with the Mother,
7585.policeyourplanet_14_delray_64kb_21|"Your meal ticket's ruined, Cuddles, and you made it clear a little while ago just where you stand. Remind me to tell you sometime how much fun it's been."
7585.policeyourplanet_14_delray_64kb_22|"Your mother was good with a soldering iron, wasn't she? You even look human.
7585.policeyourplanet_14_delray_64kb_23|"You might guess that the cops would be happy to get hold of your wife now, though. Come on, it's a long walk."
7585.policeyourplanet_14_delray_64kb_24|"Going hunting for those damned kids, eh?
7585.policeyourplanet_14_delray_64kb_25|"Lucky devil! All I got for a guide was an old bum. Okay, luck, Sergeant!"
7585.policeyourplanet_14_delray_64kb_26|"Didn't know who it was. Sorry. Ever get that louse you were out for?"
7585.policeyourplanet_14_delray_64kb_27|"Things are a mite tough out here, princess. No deliveries. Closed my bar, been living sort of hand to mouth, but not much mouth.
7585.policeyourplanet_14_delray_64kb_28|"I ain't so bad off. I ate something yesterday. But if you can spare something for the Kid -- Hey, Kid!"
7585.policeyourplanet_14_delray_64kb_29|"Shouldn't oughta. You'll need it. Umm.
7585.policeyourplanet_14_delray_64kb_30|"Kid can't talk. Cop caught him peddling one of Randolph's pamphlets, cut out part of his tongue. But he's all right now. Come on, Kid, hurry it up. We gotta convoy these people."
7585.policeyourplanet_14_delray_64kb_31|"Any muckrakers there?"
7585.policeyourplanet_14_delray_64kb_32|"Why didn't you two wait?
7585.policeyourplanet_14_delray_64kb_33|"I figured Izzy'd stop by first. Here, sit over there. Not much room, with my stuff and Randolph's, but it beats walking."
7585.policeyourplanet_14_delray_64kb_34|"What in hell brings you back?
7585.policeyourplanet_14_delray_64kb_35|"A man gets tired of being respectable, cobber. And I'm getting old and sentimental about the Chicken Coop.
7585.policeyourplanet_14_delray_64kb_36|"But not so old that I can't handle a couple of guards that are stubborn about trucks, eh, Izzy?"
7585.policeyourplanet_14_delray_64kb_37|"Messy, but nice,
7585.policeyourplanet_14_delray_64kb_38|"Tell those trained apes of yours to cut the lights, will you, Mother? Somebody must be using the Coop."
7585.policeyourplanet_14_delray_64kb_39|"They're all dead, cobbers,
7585.policeyourplanet_14_delray_64kb_40|"Dead because a crook had to try his hand on a lock. Years ago, I had a flask of poison gas attached, in case a gang should ever squeeze me out."
7585.policeyourplanet_14_delray_64kb_41|"Dope! And all that other stuff's ammunition!"
7585.policeyourplanet_14_delray_64kb_42|"A pigpen. They've ruined the Coop, cobber. Smell that air -- even I can smell it!
7585.policeyourplanet_14_delray_64kb_43|"Well, it'll give the boys something to do,
7585.policeyourplanet_14_delray_64kb_44|"When a man gets old, he likes a little comfort, cobber. Nice things around him..."
7585.policeyourplanet_14_delray_64kb_45|"I'll be cleaning for a week,
7585.policeyourplanet_14_delray_64kb_46|"What are you going to do now, Bruce?"
7585.policeyourplanet_14_delray_64kb_47|"I was afraid you'd think of that, Gordon. Look, you never were a reporter -- you ran a column. I've read the stuff you wrote. You killed and maimed with words. But you never dug up news that would help people, or tell them what they didn't suspect all along. And that's what I've got to have."
7585.policeyourplanet_14_delray_64kb_48|"Too bad Security didn't think I was as lousy a reporter as you do!"
7585.policeyourplanet_14_delray_64kb_49|"You all right, Bruce? I heard you tossing around."
7585.policeyourplanet_14_delray_64kb_50|"Just making plans for tomorrow."
7585.policeyourplanet_11_delray_64kb_0|"Banks will be reopened as rapidly as the Legal Government can extend its control, and all deposits previously made will be honored in full."
7585.policeyourplanet_11_delray_64kb_1|"Let them bribe us if they like. We're going to win this war."
7585.policeyourplanet_11_delray_64kb_2|"Food, and some other stuff. There are some refuse bags, too. Yell when you want them removed."
7585.policeyourplanet_11_delray_64kb_3|"Water! Two gallons!"
7585.policeyourplanet_11_delray_64kb_4|"There are heat tablets, and a skin tub.
7585.policeyourplanet_11_delray_64kb_5|"Detergent. The whole works."
